normalization,sign_frac,raw_rho,raw_rho_std,raw_rho_n,raw_rho_sem,ref_rho,ref_rho_std,ref_rho_n,ref_rho_sem,post_rho,post_rho_std,post_rho_n,post_rho_sem,raw_fro,raw_fro_std,raw_fro_n,raw_fro_sem,ref_fro,ref_fro_std,ref_fro_n,ref_fro_sem,post_fro,post_fro_std,post_fro_n,post_fro_sem,scale_factor,scale_factor_std,scale_factor_n,scale_factor_sem
original_radius,0.0,54.15625381469727,0.0,50,0.0,52.3642807006836,0.0,50,0.0,1.034220576286316,0.0,50,0.0,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.06113256113256113,47.253684005737306,2.5598263203119975,50,0.36201410995048416,52.3642807006836,0.0,50,0.0,0.9024031293392182,0.04888500943571659,50,0.006913384334072712,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.1,42.64954704284668,2.9822083444036847,50,0.42174794864779047,52.3642807006836,0.0,50,0.0,0.8144778227806091,0.056951391399614054,50,0.008054143011335264,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.2,32.46042987823486,3.832819812669062,50,0.5420425761208892,52.3642807006836,0.0,50,0.0,0.6198963928222656,0.07319535628147451,50,0.010351386555599197,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.3,27.53921085357666,1.5870344621701122,50,0.22444056603544632,52.3642807006836,0.0,50,0.0,0.5259159243106842,0.030307561003869225,50,0.004286136381412179,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.4,27.16908176422119,1.0815108144932855,50,0.15294872617095767,52.3642807006836,0.0,50,0.0,0.5188474977016448,0.020653643912523906,50,0.0029208663333515823,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.5,27.016024589538574,0.9532672084733504,50,0.13481234147885526,52.3642807006836,0.0,50,0.0,0.5159245997667312,0.018204485027333052,50,0.0025745029621672346,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.6,27.225131759643556,1.3036393127667425,50,0.18436243965574683,52.3642807006836,0.0,50,0.0,0.5199179822206497,0.024895549724188924,50,0.003520762406268174,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.7,28.01981845855713,2.138238487760242,50,0.30239258689786713,52.3642807006836,0.0,50,0.0,0.5350939929485321,0.0408337468219994,50,0.005774763855818083,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
original_radius,0.8,31.5451301574707,3.5988699082281497,50,0.5089570633432665,52.3642807006836,0.0,50,0.0,0.6024169391393661,0.06872760473560846,50,0.009719551072651484,230.77911376953125,0.0,50,0.0,230.77911376953125,0.0,50,0.0,4.407186031341553,0.0,50,0.0,0.0190969872328819,0.0,50,0.0
