metric,baseline_mode,baseline_label,control_mode,control_label,baseline_mean_cv,control_mean_cv,delta_cv,pct_delta_cv,ci95_low,ci95_high,comparison_type,n
MC,real,C. elegans,celW+connShuf,Conn. + wt. shuffle,0.3828534283362292,0.44480888503599786,0.06195545669976865,16.18255241150882,0.05704087096947803,0.06687004243005933,paired,200
MC,real,C. elegans,conn_shuf_only,Connection shuffle,0.3828534283362292,0.45491381884455495,0.07206039050832574,18.821926401829405,0.06684017630181341,0.077280604714838,paired,200
MC,real,C. elegans,shuffle,Weight shuffle,0.3828534283362292,0.4417728219663381,0.058919393630108896,15.389543169602952,0.05411636397787789,0.06372242328234008,paired,200
IPC,real,C. elegans,celW+connShuf,Conn. + wt. shuffle,0.286341477572446,0.37244430704452874,0.08610282947208275,30.06998154862083,0.08206333023970763,0.09014232870445799,paired,200
IPC,real,C. elegans,conn_shuf_only,Connection shuffle,0.286341477572446,0.37167244265180777,0.08533096507936178,29.800420743366654,0.08088463496460724,0.08977729519411634,paired,200
IPC,real,C. elegans,shuffle,Weight shuffle,0.286341477572446,0.3638149725083561,0.0774734949359101,27.05632994308653,0.07372405691918851,0.08122293295263172,paired,200
KR,real,C. elegans,celW+connShuf,Conn. + wt. shuffle,0.3985422827566271,0.5626393945659648,0.16409711180933767,41.17432927676204,0.15913617333712513,0.16905805028155,paired,200
KR,real,C. elegans,conn_shuf_only,Connection shuffle,0.3985422827566271,0.5982320424369907,0.19968975968036357,50.105037362448606,0.19289904887788273,0.20648047048284457,paired,200
KR,real,C. elegans,shuffle,Weight shuffle,0.3985422827566271,0.5531936170764535,0.15465133431982642,38.804247632180456,0.14891442725039294,0.16038824138925983,paired,200
GR,real,C. elegans,celW+connShuf,Conn. + wt. shuffle,0.58171365036428,0.7295834530416317,0.14786980267735172,25.41968932390582,0.14476902454256366,0.15097058081213996,paired,200
GR,real,C. elegans,conn_shuf_only,Connection shuffle,0.58171365036428,0.7381135329743296,0.15639988261004956,26.88606026558067,0.152920092747417,0.1598796724726824,paired,200
GR,real,C. elegans,shuffle,Weight shuffle,0.58171365036428,0.7171503417068078,0.13543669134252778,23.282364314076997,0.13201052384227097,0.13886285884278482,paired,200
