normalization,sign_frac,metric,mean,std,n_groups,sem
original_radius,0.0,GR,12.755549858858187,0.7338238042277012,100,0.07338238042277012
original_radius,0.0,IPC,4.074430222713266,0.2554626989755807,100,0.025546269897558073
original_radius,0.0,KR,6.735588942182561,0.29864850875390636,100,0.029864850875390637
original_radius,0.0,MC,1.9087342663745708,0.0956910050577448,100,0.00956910050577448
original_radius,0.2,GR,14.547582805107037,0.97927477000019,100,0.097927477000019
original_radius,0.2,IPC,9.21031823821296,0.5953738303644615,100,0.059537383036446144
original_radius,0.2,KR,7.182237655818462,0.4588487702403072,100,0.04588487702403072
original_radius,0.2,MC,5.0313535286796585,0.24488208645645887,100,0.02448820864564589
original_radius,0.4,GR,12.527293779452641,0.7221706640573753,100,0.07221706640573752
original_radius,0.4,IPC,10.747299730347892,0.7304318658749255,100,0.07304318658749255
original_radius,0.4,KR,6.168855204582214,0.2878611693676489,100,0.02878611693676489
original_radius,0.4,MC,6.0315262472443285,0.30272512822689074,100,0.030272512822689075
original_radius,0.6,GR,12.580294551899035,0.6638978252398794,100,0.06638978252398794
original_radius,0.6,IPC,10.764804528552283,0.7450357920684676,100,0.07450357920684676
original_radius,0.6,KR,6.196380071652433,0.25549460384236894,100,0.025549460384236895
original_radius,0.6,MC,6.040016223962108,0.3171884484404567,100,0.03171884484404567
original_radius,0.8,GR,13.482012196096282,0.9162900734585158,100,0.09162900734585158
original_radius,0.8,IPC,10.080188228067964,0.6573221836143338,100,0.06573221836143338
original_radius,0.8,KR,6.350664058898887,0.38896347488505917,100,0.038896347488505914
original_radius,0.8,MC,5.810076737534255,0.28437620144154846,100,0.028437620144154845
original_radius,1.0,GR,13.642130694923301,0.8255476821881162,100,0.08255476821881162
original_radius,1.0,IPC,6.7053151546702,0.4371105096152801,100,0.04371105096152801
original_radius,1.0,KR,5.42273931103448,0.343714404447437,100,0.0343714404447437
original_radius,1.0,MC,3.970658570472151,0.20220346552997298,100,0.020220346552997297
spectral_radius,0.0,GR,5.423565282399455,0.3998441734685084,100,0.03998441734685084
spectral_radius,0.0,IPC,7.020903701823969,0.2911021728010824,100,0.029110217280108243
spectral_radius,0.0,KR,3.211444239579141,0.2237383935372438,100,0.022373839353724383
spectral_radius,0.0,MC,3.8669140235334636,0.15587216217820574,100,0.015587216217820573
spectral_radius,0.2,GR,10.194352010550597,0.6133001649374614,100,0.06133001649374614
spectral_radius,0.2,IPC,8.955944087798418,0.5964556161523964,100,0.05964556161523964
spectral_radius,0.2,KR,5.278600414246321,0.2929562903504048,100,0.02929562903504048
spectral_radius,0.2,MC,5.0661784051544965,0.2605164962163801,100,0.02605164962163801
spectral_radius,0.4,GR,52.31537729082008,3.4216422995045668,100,0.3421642299504567
spectral_radius,0.4,IPC,16.814869585738762,0.5225877986924348,100,0.052258779869243474
spectral_radius,0.4,KR,26.718128765200575,1.9665695576842224,100,0.19665695576842224
spectral_radius,0.4,MC,10.63806022260338,0.324721296654422,100,0.032472129665442204
spectral_radius,0.6,GR,51.99183391372363,3.330028615085112,100,0.3330028615085112
spectral_radius,0.6,IPC,16.796858082555705,0.5543615385321459,100,0.055436153853214584
spectral_radius,0.6,KR,26.54919140331447,1.9465734380760962,100,0.19465734380760963
spectral_radius,0.6,MC,10.61923081640775,0.37401898645341486,100,0.037401898645341485
spectral_radius,0.8,GR,9.718065139812728,0.5920727914349467,100,0.059207279143494676
spectral_radius,0.8,IPC,9.281981461648828,0.5254223961385278,100,0.05254223961385278
spectral_radius,0.8,KR,4.962753871008754,0.24627330610985593,100,0.02462733061098559
spectral_radius,0.8,MC,5.331263509852191,0.23828713291942585,100,0.023828713291942586
spectral_radius,1.0,GR,5.091098513764639,0.3051482949144679,100,0.030514829491446786
spectral_radius,1.0,IPC,7.397115645453608,0.24294670615981673,100,0.024294670615981673
spectral_radius,1.0,KR,2.9879600639268755,0.14802186017408345,100,0.014802186017408344
spectral_radius,1.0,MC,4.147502274544289,0.14084781950431507,100,0.014084781950431507
