normalization,sign_frac,metric,mean,std,n_groups,sem,rho_target,n_rho_targets,cv_definition
original_radius,0.0,GR,0.8818070629236437,0.02738172616287136,100,0.002738172616287136,1.05,1,within_selected_target_cv
original_radius,0.0,IPC,0.4292058293222974,0.04997373852545335,100,0.004997373852545335,1.05,1,within_selected_target_cv
original_radius,0.0,KR,0.7362635850694709,0.02641176847086255,100,0.0026411768470862547,1.05,1,within_selected_target_cv
original_radius,0.0,MC,0.37475113270535815,0.05450712161027157,100,0.005450712161027157,1.05,1,within_selected_target_cv
original_radius,0.2,GR,0.6161769260929456,0.01917686723016018,100,0.001917686723016018,1.05,1,within_selected_target_cv
original_radius,0.2,IPC,0.4550261162143724,0.042269231672445916,100,0.004226923167244592,1.05,1,within_selected_target_cv
original_radius,0.2,KR,0.4815982846374569,0.019456716503410635,100,0.0019456716503410635,1.05,1,within_selected_target_cv
original_radius,0.2,MC,0.38319721574242505,0.03325748468555004,100,0.0033257484685550037,1.05,1,within_selected_target_cv
original_radius,0.4,GR,0.6430462450003658,0.007746551163122588,100,0.0007746551163122588,1.05,1,within_selected_target_cv
original_radius,0.4,IPC,0.42194165430744235,0.043493251542664146,100,0.004349325154266415,1.05,1,within_selected_target_cv
original_radius,0.4,KR,0.4461918993822443,0.009692807212013795,100,0.0009692807212013795,1.05,1,within_selected_target_cv
original_radius,0.4,MC,0.4658091362515032,0.042772058834335394,100,0.004277205883433539,1.05,1,within_selected_target_cv
original_radius,0.6,GR,0.6443238231346491,0.007503117094213622,100,0.0007503117094213622,1.05,1,within_selected_target_cv
original_radius,0.6,IPC,0.4199137074750386,0.04426267392996647,100,0.004426267392996647,1.05,1,within_selected_target_cv
original_radius,0.6,KR,0.44807008841204693,0.008390154191844126,100,0.0008390154191844126,1.05,1,within_selected_target_cv
original_radius,0.6,MC,0.46344531923906673,0.04400534234968289,100,0.004400534234968289,1.05,1,within_selected_target_cv
original_radius,0.8,GR,0.6843491693495802,0.027080348555533568,100,0.0027080348555533567,1.05,1,within_selected_target_cv
original_radius,0.8,IPC,0.39579674059187164,0.025916720438148962,100,0.0025916720438148963,1.05,1,within_selected_target_cv
original_radius,0.8,KR,0.5813432161609748,0.04228077573329347,100,0.004228077573329347,1.05,1,within_selected_target_cv
original_radius,0.8,MC,0.3834774041407865,0.03637015255889792,100,0.0036370152558897915,1.05,1,within_selected_target_cv
original_radius,1.0,GR,0.759988774154564,0.014222817346041205,100,0.0014222817346041204,1.05,1,within_selected_target_cv
original_radius,1.0,IPC,0.6707434639034421,0.037134800354178314,100,0.0037134800354178313,1.05,1,within_selected_target_cv
original_radius,1.0,KR,0.741458121718546,0.022983791926464686,100,0.002298379192646469,1.05,1,within_selected_target_cv
original_radius,1.0,MC,0.6529518700647244,0.041548023776527734,100,0.004154802377652774,1.05,1,within_selected_target_cv
spectral_radius,0.0,GR,0.42105745335588124,0.012370921566013379,100,0.0012370921566013378,1.05,1,within_selected_target_cv
spectral_radius,0.0,IPC,0.2791182713499845,0.03022677959533725,100,0.003022677959533725,1.05,1,within_selected_target_cv
spectral_radius,0.0,KR,0.2312152958269559,0.012070453218296657,100,0.0012070453218296657,1.05,1,within_selected_target_cv
