normalization,sign_frac,metric,mean,std,n_groups,sem,rho_target,n_rho_targets,cv_definition
original_radius,0.0,GR,0.8367678095192381,0.02264293371045678,100,0.0022642933710456782,,4,full_grid_cv_including_rho
original_radius,0.0,IPC,0.5331022741051011,0.03870470874480125,100,0.0038704708744801255,,4,full_grid_cv_including_rho
original_radius,0.0,KR,0.6965153408132564,0.022858049413491704,100,0.0022858049413491703,,4,full_grid_cv_including_rho
original_radius,0.0,MC,0.537263204350358,0.03638895184597791,100,0.0036388951845977907,,4,full_grid_cv_including_rho
original_radius,0.2,GR,0.7539051675843411,0.017408872841380013,100,0.0017408872841380013,,4,full_grid_cv_including_rho
original_radius,0.2,IPC,0.41836211693756636,0.020238945257571077,100,0.0020238945257571076,,4,full_grid_cv_including_rho
original_radius,0.2,KR,0.5791538976664046,0.0194156482389407,100,0.0019415648238940702,,4,full_grid_cv_including_rho
original_radius,0.2,MC,0.4056565312970444,0.022285030593863744,100,0.0022285030593863745,,4,full_grid_cv_including_rho
original_radius,0.4,GR,0.7480843459213119,0.010239593331373524,100,0.0010239593331373524,,4,full_grid_cv_including_rho
original_radius,0.4,IPC,0.4379200197369213,0.01911636309463575,100,0.0019116363094635752,,4,full_grid_cv_including_rho
original_radius,0.4,KR,0.5257452291126387,0.012484974914392672,100,0.0012484974914392672,,4,full_grid_cv_including_rho
original_radius,0.4,MC,0.48106747467723837,0.024567562663166606,100,0.0024567562663166606,,4,full_grid_cv_including_rho
original_radius,0.6,GR,0.7495786932359486,0.010240014194050667,100,0.0010240014194050667,,4,full_grid_cv_including_rho
original_radius,0.6,IPC,0.4383605757421866,0.02143424654897808,100,0.002143424654897808,,4,full_grid_cv_including_rho
original_radius,0.6,KR,0.5276298493399049,0.011643545726009135,100,0.0011643545726009136,,4,full_grid_cv_including_rho
original_radius,0.6,MC,0.48121951222573145,0.028337792989426586,100,0.0028337792989426586,,4,full_grid_cv_including_rho
