normalization,sign_frac,raw_rho,raw_rho_std,raw_rho_n,raw_rho_sem,ref_rho,ref_rho_std,ref_rho_n,ref_rho_sem,post_rho,post_rho_std,post_rho_n,post_rho_sem,scale_factor,scale_factor_std,scale_factor_n,scale_factor_sem
original_radius,0.0,78.14213562011719,0.0,100,0.0,71.5705795288086,0.0,100,0.0,0.9280487447977065,0.0,100,0.0,0.011876388393052675,0.0,100,0.0
original_radius,0.2,50.031462326049805,9.357680715729893,100,0.9357680715729894,71.5705795288086,0.0,100,0.0,0.5941930032521486,0.11113541521870668,100,0.011113541521870668,0.011876388393052675,0.0,100,0.0
original_radius,0.2425287356321839,46.476382369995115,8.12444004193495,100,0.8124440041934949,71.5705795288086,0.0,100,0.0,0.5519716526567936,0.09648906773777555,100,0.009648906773777555,0.011876388393052675,0.0,100,0.0
original_radius,0.4,43.51563564300537,6.793266996984955,100,0.6793266996984955,71.5705795288086,0.0,100,0.0,0.516808557510376,0.08067951475707279,100,0.00806795147570728,0.011876388393052675,0.0,100,0.0
original_radius,0.6,43.27268880844116,6.712714967984061,100,0.6712714967984061,71.5705795288086,0.0,100,0.0,0.5139232652634382,0.07972296523345734,100,0.007972296523345735,0.011876388393052675,0.0,100,0.0
original_radius,0.8,52.397028045654295,9.411894744576067,100,0.9411894744576067,71.5705795288086,0.0,100,0.0,0.6222874659299851,0.11177933285739361,100,0.01117793328573936,0.011876388393052675,0.0,100,0.0
original_radius,1.0,78.14221954345703,0.0,100,0.0,71.5705795288086,0.0,100,0.0,0.9280480742454529,0.0,100,0.0,0.011876388393052675,0.0,100,0.0
spectral_radius,0.0,78.14213562011719,0.0,100,0.0,71.5705795288086,0.0,100,0.0,0.8500023484230042,0.0,100,0.0,0.01087761414830295,0.0,100,0.0
spectral_radius,0.2,50.031462326049805,9.357680715729893,100,0.9357680715729894,71.5705795288086,0.0,100,0.0,0.8499998290836811,8.134788845204129e-07,100,8.134788845204129e-08,0.017598151255977513,0.0033659911630791353,100,0.00033659911630791353
spectral_radius,0.2425287356321839,46.476382369995115,8.12444004193495,100,0.8124440041934949,71.5705795288086,0.0,100,0.0,0.8500001035630703,8.690044043871611e-07,100,8.690044043871611e-08,0.018810155885986165,0.0030738145484560677,100,0.0003073814548456068
spectral_radius,0.4,43.51563564300537,6.793266996984955,100,0.6793266996984955,71.5705795288086,0.0,100,0.0,0.8499998833239079,7.750810748241445e-07,100,7.750810748241445e-08,0.019984689370075463,0.0029673922461044776,100,0.0002967392246104478
spectral_radius,0.6,43.27268880844116,6.712714967984061,100,0.6712714967984061,71.5705795288086,0.0,100,0.0,0.8500000014901161,9.161818401653846e-07,100,9.161818401653845e-08,0.020096257809646696,0.0029969911342294007,100,0.00029969911342294004
spectral_radius,0.8,52.397028045654295,9.411894744576067,100,0.9411894744576067,71.5705795288086,0.0,100,0.0,0.8500000640749932,7.273808839304608e-07,100,7.273808839304608e-08,0.016759311454206057,0.0030707914677596624,100,0.00030707914677596625
spectral_radius,1.0,78.14221954345703,0.0,100,0.0,71.5705795288086,0.0,100,0.0,0.8500011265277863,0.0,100,0.0,0.010877602465940802,0.0,100,0.0
