mode,series_kind,metric,raw_rho,raw_rho_sd,performance,performance_sd,cv,cv_sd,n_groups,n_hparams,series,series_key,color,marker,normalization,sign_frac,dataset
sign_test_og_cel0.2,sign_sweep,IPC,51.1908037185669,9.308925838775416,8.676090109844349,0.7014389543584699,0.27993402707437925,0.03738254354085509,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.2,Removed C. elegans sweep
sign_test_og_cel0.2,sign_sweep,KR,51.1908037185669,9.308925838775416,6.034137171916663,1.3820488781247307,0.3525266519939018,0.029911013775741496,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.2,Removed C. elegans sweep
sign_test_og_cel0.2,sign_sweep,MC,51.1908037185669,9.308925838775416,5.137294607553631,0.4637089908553908,0.37635516493323523,0.045384509259551044,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.2,Removed C. elegans sweep
sign_test_og_cel0.2425287356321839,sign_sweep,IPC,47.68347846984863,8.436455135536441,8.92718611192344,0.6806245533549768,0.2921648901507462,0.036157894539352003,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.2425287356321839,Removed C. elegans sweep
sign_test_og_cel0.2425287356321839,sign_sweep,KR,47.68347846984863,8.436455135536441,6.507173472760866,1.3634746469378394,0.3595486371530549,0.02817795513418194,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.2425287356321839,Removed C. elegans sweep
sign_test_og_cel0.2425287356321839,sign_sweep,MC,47.68347846984863,8.436455135536441,5.316880797725171,0.4617027465612849,0.39099128799088434,0.0413333104558284,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.2425287356321839,Removed C. elegans sweep
sign_test_og_cel0.4,sign_sweep,IPC,44.07058874130249,6.967564718087644,9.266952600989038,0.6519094190504221,0.30318280694490807,0.037665604034589274,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.4,Removed C. elegans sweep
sign_test_og_cel0.4,sign_sweep,KR,44.07058874130249,6.967564718087644,7.031874873985847,1.3870784780167509,0.36802693725639934,0.027725207492830098,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.4,Removed C. elegans sweep
sign_test_og_cel0.4,sign_sweep,MC,44.07058874130249,6.967564718087644,5.542387158075968,0.4271435672519571,0.40632745135257237,0.04023806378616936,200,96.0,Removed C. elegans sweep,Removed C. elegans sweep,#e69f00,o,spectral_radius,0.4,Removed C. elegans sweep
sign_test_er0.0,sign_sweep,IPC,12.121951365470887,0.06067167036892841,6.9354386839679,0.2603720249145709,0.25714888058292784,0.017333570366594706,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.0,Matched ER sweep
sign_test_er0.0,sign_sweep,KR,12.121951365470887,0.06067167036892841,3.127162239421159,0.23135727445992899,0.2943513296011109,0.013857680542884143,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.0,Matched ER sweep
sign_test_er0.0,sign_sweep,MC,12.121951365470887,0.06067167036892841,3.844810798599695,0.13369902974602826,0.2973222340618184,0.018610818818127612,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.0,Matched ER sweep
sign_test_er0.2,sign_sweep,IPC,7.267385227680206,0.10091457175229165,8.738858354995113,0.32637372709749246,0.362383502258986,0.024023146386468804,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.2,Matched ER sweep
sign_test_er0.2,sign_sweep,KR,7.267385227680206,0.10091457175229165,5.016352289114147,0.29374265548972567,0.4400080786831795,0.013048951589190273,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.2,Matched ER sweep
sign_test_er0.2,sign_sweep,MC,7.267385227680206,0.10091457175229165,5.000100848637521,0.17392830386904204,0.39944142278240213,0.018587935535993978,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.2,Matched ER sweep
sign_test_er0.4,sign_sweep,IPC,3.609231961965561,0.06744779357486377,16.689772222530948,0.4587688436808596,0.36966566751206237,0.015331487276592854,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.4,Matched ER sweep
sign_test_er0.4,sign_sweep,KR,3.609231961965561,0.06744779357486377,20.442226764261722,1.2897558479830837,0.7865540110441966,0.012278652986145588,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.4,Matched ER sweep
sign_test_er0.4,sign_sweep,MC,3.609231961965561,0.06744779357486377,10.593122239528846,0.3035848825417308,0.528409514537254,0.017214338919618304,200,96.0,Matched ER sweep,Matched ER sweep,#56b4e9,o,spectral_radius,0.4,Matched ER sweep
