normalization,sign_frac,raw_rho,raw_rho_std,raw_rho_n,raw_rho_sem,ref_rho,ref_rho_std,ref_rho_n,ref_rho_sem,post_rho,post_rho_std,post_rho_n,post_rho_sem,scale_factor,scale_factor_std,scale_factor_n,scale_factor_sem
original_radius,0.0,106.5088882446289,0.0,100,0.0,73.24662330627442,3.3284416653727926,100,0.3328441665372793,1.2384934420883655,0.05557243403904566,100,0.005557243403904566,0.011628086579533363,0.0005217642370196452,100,5.217642370196452e-05
original_radius,0.2,66.48166263580322,11.358640729740213,100,1.1358640729740213,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.7729325404763222,0.13664013792951216,100,0.013664013792951216,0.011628086579533363,0.0005217642370196452,100,5.217642370196452e-05
original_radius,0.24250832408435072,60.03005382537842,11.394419737964636,100,1.1394419737964636,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.6986340497434139,0.13903220854691783,100,0.013903220854691783,0.011628086579533363,0.0005217642370196452,100,5.217642370196452e-05
original_radius,0.4,51.39748500823975,8.670903717925952,100,0.8670903717925953,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.5978037452697754,0.1054249282035991,100,0.010542492820359909,0.011628086579533363,0.0005217642370196452,100,5.217642370196452e-05
original_radius,0.6,50.42406909942627,7.558767180945292,100,0.7558767180945292,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.5866213833540678,0.09338502148540358,100,0.009338502148540357,0.011628086579533363,0.0005217642370196452,100,5.217642370196452e-05
original_radius,0.8,68.15275863647462,11.377598542583995,100,1.1377598542583995,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.7923326401412487,0.13530950650122817,100,0.013530950650122817,0.011628086579533363,0.0005217642370196452,100,5.217642370196452e-05
original_radius,1.0,106.50869750976562,0.0,100,0.0,73.24662330627442,3.3284416653727926,100,0.3328441665372793,1.2384933753311633,0.055572413597792525,100,0.0055572413597792525,0.011628086579533363,0.0005217642370196452,100,5.217642370196452e-05
spectral_radius,0.0,106.5088882446289,0.0,100,0.0,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.8499993234872818,0.0,100,0.0,0.0079805546185753,0.0,100,0.0
spectral_radius,0.2,66.48166263580322,11.358640729740213,100,1.1358640729740213,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.8499999462068081,7.653902778067367e-07,100,7.653902778067367e-08,0.01315266557654046,0.0022013823734789,100,0.00022013823734789003
spectral_radius,0.24250832408435072,60.03005382537842,11.394419737964636,100,1.1394419737964636,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.8500000588595867,7.73105380655181e-07,100,7.73105380655181e-08,0.014657387647261348,0.0027116835912530833,100,0.00027116835912530834
spectral_radius,0.4,51.39748500823975,8.670903717925952,100,0.8670903717925953,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.8500000371038914,9.252472157937919e-07,100,9.252472157937919e-08,0.016992587866723897,0.002776444665933594,100,0.0002776444665933594
spectral_radius,0.6,50.42406909942627,7.558767180945292,100,0.7558767180945292,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.850000009983778,8.634579555213433e-07,100,8.634579555213433e-08,0.017218665453094636,0.002471711722187003,100,0.0002471711722187003
spectral_radius,0.8,68.15275863647462,11.377598542583995,100,1.1377598542583995,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.8500000135600567,8.554946562796381e-07,100,8.554946562796381e-08,0.012829466252015356,0.0022094109158682877,100,0.00022094109158682878
spectral_radius,1.0,106.50869750976562,0.0,100,0.0,73.24662330627442,3.3284416653727926,100,0.3328441665372793,0.8500007688999176,0.0,100,0.0,0.007980568910084175,0.0,100,0.0
