normalization,sign_frac,metric,mean,std,n_groups,sem,rho_target,n_rho_targets,cv_definition
original_radius,0.0,GR,0.5584340879566365,0.038780917733216395,100,0.0038780917733216395,1.05,1,within_selected_target_cv
original_radius,0.0,IPC,0.2877277005020459,0.0394812240477104,100,0.00394812240477104,1.05,1,within_selected_target_cv
original_radius,0.0,KR,0.41480743024091543,0.03602550096822226,100,0.003602550096822226,1.05,1,within_selected_target_cv
original_radius,0.0,MC,0.31273362222806694,0.04202488033958362,100,0.004202488033958362,1.05,1,within_selected_target_cv
original_radius,0.2,GR,0.4784587288807159,0.026531821164940055,100,0.0026531821164940054,1.05,1,within_selected_target_cv
original_radius,0.2,IPC,0.32389552079236744,0.036279361833587695,100,0.0036279361833587696,1.05,1,within_selected_target_cv
original_radius,0.2,KR,0.2952880882910995,0.027969766458874543,100,0.0027969766458874543,1.05,1,within_selected_target_cv
original_radius,0.2,MC,0.4151860949487503,0.044006128558302694,100,0.004400612855830269,1.05,1,within_selected_target_cv
original_radius,0.24250832408435072,GR,0.487649101824882,0.02313687119237426,100,0.002313687119237426,1.05,1,within_selected_target_cv
original_radius,0.24250832408435072,IPC,0.32911364940422727,0.03562526919907701,100,0.003562526919907701,1.05,1,within_selected_target_cv
original_radius,0.24250832408435072,KR,0.3007685041287594,0.026525707885201998,100,0.0026525707885201996,1.05,1,within_selected_target_cv
original_radius,0.24250832408435072,MC,0.42258043078516994,0.0388982846310111,100,0.00388982846310111,1.05,1,within_selected_target_cv
original_radius,0.4,GR,0.5018274442625538,0.01868433816349896,100,0.001868433816349896,1.05,1,within_selected_target_cv
original_radius,0.4,IPC,0.3247312154039927,0.03312811111459399,100,0.0033128111114593987,1.05,1,within_selected_target_cv
original_radius,0.4,KR,0.31274963107726994,0.019399739458668786,100,0.0019399739458668785,1.05,1,within_selected_target_cv
original_radius,0.4,MC,0.4261977170327142,0.033821067745064506,100,0.0033821067745064505,1.05,1,within_selected_target_cv
original_radius,0.6,GR,0.502774302806447,0.017597494627027088,100,0.0017597494627027087,1.05,1,within_selected_target_cv
original_radius,0.6,IPC,0.3249955475086264,0.037115111408995184,100,0.0037115111408995184,1.05,1,within_selected_target_cv
original_radius,0.6,KR,0.3131095881744771,0.019239914368589434,100,0.0019239914368589434,1.05,1,within_selected_target_cv
original_radius,0.6,MC,0.4244851085087437,0.03675603543170862,100,0.003675603543170862,1.05,1,within_selected_target_cv
original_radius,0.8,GR,0.5079819628871712,0.019119687412380404,100,0.0019119687412380403,1.05,1,within_selected_target_cv
original_radius,0.8,IPC,0.31163671372601454,0.031914248376063305,100,0.0031914248376063306,1.05,1,within_selected_target_cv
original_radius,0.8,KR,0.3317448781174845,0.027175184512291034,100,0.0027175184512291035,1.05,1,within_selected_target_cv
original_radius,0.8,MC,0.41611065822826454,0.03495052490859678,100,0.003495052490859678,1.05,1,within_selected_target_cv
original_radius,1.0,GR,0.5931126616270622,0.026588661992665102,100,0.00265886619926651,1.05,1,within_selected_target_cv
original_radius,1.0,IPC,0.263394418601522,0.030816016405492336,100,0.0030816016405492337,1.05,1,within_selected_target_cv
original_radius,1.0,KR,0.4684067191431049,0.02363860533836512,100,0.002363860533836512,1.05,1,within_selected_target_cv
original_radius,1.0,MC,0.35625376606375725,0.03301663296507018,100,0.003301663296507018,1.05,1,within_selected_target_cv
spectral_radius,0.0,GR,0.40856266996343804,0.02292669669836109,100,0.002292669669836109,1.05,1,within_selected_target_cv
spectral_radius,0.0,IPC,0.24869831503988962,0.030807838870677555,100,0.0030807838870677553,1.05,1,within_selected_target_cv
spectral_radius,0.0,KR,0.22320899762376448,0.022337826028738673,100,0.0022337826028738673,1.05,1,within_selected_target_cv
spectral_radius,0.0,MC,0.325119539658313,0.03125492869008843,100,0.0031254928690088433,1.05,1,within_selected_target_cv
spectral_radius,0.2,GR,0.46301138194376235,0.024565155873276703,100,0.0024565155873276703,1.05,1,within_selected_target_cv
spectral_radius,0.2,IPC,0.32717277088591934,0.043711011295873285,100,0.004371101129587328,1.05,1,within_selected_target_cv
spectral_radius,0.2,KR,0.29741924565007505,0.02738851662160152,100,0.002738851662160152,1.05,1,within_selected_target_cv
spectral_radius,0.2,MC,0.4137123853306794,0.05013778643251199,100,0.005013778643251199,1.05,1,within_selected_target_cv
spectral_radius,0.24250832408435072,GR,0.4632377228125806,0.02776157428260896,100,0.002776157428260896,1.05,1,within_selected_target_cv
spectral_radius,0.24250832408435072,IPC,0.3467978610876916,0.044015059478097945,100,0.004401505947809794,1.05,1,within_selected_target_cv
spectral_radius,0.24250832408435072,KR,0.30748326213802707,0.024932729170003463,100,0.0024932729170003463,1.05,1,within_selected_target_cv
spectral_radius,0.24250832408435072,MC,0.43885147182753526,0.04827429143613695,100,0.004827429143613695,1.05,1,within_selected_target_cv
spectral_radius,0.4,GR,0.46101880082286134,0.036451948684080034,100,0.0036451948684080035,1.05,1,within_selected_target_cv
spectral_radius,0.4,IPC,0.36798783066878876,0.03879690816415831,100,0.003879690816415831,1.05,1,within_selected_target_cv
spectral_radius,0.4,KR,0.32380336658448733,0.02415570507671821,100,0.002415570507671821,1.05,1,within_selected_target_cv
spectral_radius,0.4,MC,0.47110755884642563,0.04055673804579016,100,0.0040556738045790155,1.05,1,within_selected_target_cv
spectral_radius,0.6,GR,0.4620063522410853,0.03265692932687269,100,0.003265692932687269,1.05,1,within_selected_target_cv
spectral_radius,0.6,IPC,0.3719902508633154,0.039509141569916605,100,0.003950914156991661,1.05,1,within_selected_target_cv
spectral_radius,0.6,KR,0.3277747838073752,0.024255769291069266,100,0.0024255769291069264,1.05,1,within_selected_target_cv
spectral_radius,0.6,MC,0.4767447392305243,0.04381114821406547,100,0.004381114821406547,1.05,1,within_selected_target_cv
spectral_radius,0.8,GR,0.49726650950621265,0.024677825563283993,100,0.002467782556328399,1.05,1,within_selected_target_cv
spectral_radius,0.8,IPC,0.3163869963763335,0.04677695425264332,100,0.0046776954252643315,1.05,1,within_selected_target_cv
spectral_radius,0.8,KR,0.33243285934672406,0.02776257854617238,100,0.002776257854617238,1.05,1,within_selected_target_cv
spectral_radius,0.8,MC,0.4196675458927468,0.049978215579253416,100,0.004997821557925342,1.05,1,within_selected_target_cv
spectral_radius,1.0,GR,0.49727706600128835,0.023647132376595957,100,0.0023647132376595956,1.05,1,within_selected_target_cv
spectral_radius,1.0,IPC,0.22240209266801764,0.030819404067711928,100,0.0030819404067711927,1.05,1,within_selected_target_cv
spectral_radius,1.0,KR,0.32126051868178424,0.02670468970675227,100,0.0026704689706752273,1.05,1,within_selected_target_cv
spectral_radius,1.0,MC,0.31998623221897393,0.0333772079594186,100,0.00333772079594186,1.05,1,within_selected_target_cv
