mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,src,normalization,wt_mean,cosine_similarity,kl_to_gaussian,seed,raw_rho,ref_rho,post_rho,raw_fro,ref_fro,post_fro,scale_factor
sign_test_og_cel0.2425287356321839,0,0.6,0.6,0.1,0.0,6.041763305664063,7.137002631100977,2.2840206623077397,2.366278648376465,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.6,0.1,0.1,5.856299877166748,8.371782092208264,2.373943328857422,2.5437793731689453,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.6,0.5,0.0,5.559092044830322,8.765143845961632,2.8054358959198,3.853405475616455,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.6,0.5,0.1,5.20389986038208,11.54951723377917,3.140000104904175,4.579736232757568,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.6,1.0,0.0,2.91910982131958,4.734401759476533,3.326843738555908,5.637761116027832,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.6,1.0,0.1,2.199469804763794,4.298615901863688,3.792271137237549,6.807569980621338,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.6,1.5,0.0,3.324131488800049,5.398481078923851,3.5928080081939697,6.857337951660156,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.6,1.5,0.1,3.461005687713623,8.019120196792134,4.106163024902344,8.285507202148438,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.8,0.1,0.0,6.942341327667236,8.22470887986502,2.5454647541046143,2.6483519077301025,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
sign_test_og_cel0.2425287356321839,0,0.6,0.8,0.1,0.1,6.6204447746276855,9.835339335316355,2.6532223224639893,2.8559730052948,chunk_0,spectral_radius,0.0007956230547279,0.3119593560695648,1.1739685280907852,12346,45.379730224609375,67.6279525756836,0.5999997854232788,407.9043884277344,407.9043884277344,5.393214702606201,0.0132217621618786
