normalization,sign_frac,metric,mean,std,n_groups,sem,rho_target,n_rho_targets,cv_definition
original_radius,0.0,GR,0.6276181156265823,0.02403393295320773,100,0.002403393295320773,,4,full_grid_cv_including_rho
original_radius,0.0,IPC,0.26941707438713125,0.023262575192656343,100,0.0023262575192656344,,4,full_grid_cv_including_rho
original_radius,0.0,KR,0.4651937352573093,0.022813062106086923,100,0.0022813062106086923,,4,full_grid_cv_including_rho
original_radius,0.0,MC,0.33006237104462177,0.027571882402808306,100,0.0027571882402808306,,4,full_grid_cv_including_rho
original_radius,0.2,GR,0.5808531034769452,0.019619167088088085,100,0.0019619167088088087,,4,full_grid_cv_including_rho
original_radius,0.2,IPC,0.29959305693514443,0.02408584248827819,100,0.0024085842488278187,,4,full_grid_cv_including_rho
original_radius,0.2,KR,0.3989440092225907,0.021905838793756068,100,0.002190583879375607,,4,full_grid_cv_including_rho
original_radius,0.2,MC,0.39428977438057133,0.03278077922393676,100,0.003278077922393676,,4,full_grid_cv_including_rho
original_radius,0.24250832408435072,GR,0.5842194603143281,0.01896796364029084,100,0.0018967963640290839,,4,full_grid_cv_including_rho
original_radius,0.24250832408435072,IPC,0.3017041449692607,0.024288269337758656,100,0.0024288269337758655,,4,full_grid_cv_including_rho
original_radius,0.24250832408435072,KR,0.39816377614791065,0.02198641878580935,100,0.002198641878580935,,4,full_grid_cv_including_rho
original_radius,0.24250832408435072,MC,0.3993062060862209,0.03057311938262122,100,0.0030573119382621217,,4,full_grid_cv_including_rho
original_radius,0.4,GR,0.5892074325464889,0.01683381975684269,100,0.001683381975684269,,4,full_grid_cv_including_rho
original_radius,0.4,IPC,0.3034633047074831,0.024309556175016477,100,0.0024309556175016477,,4,full_grid_cv_including_rho
original_radius,0.4,KR,0.3994050672796845,0.01954580714245111,100,0.001954580714245111,,4,full_grid_cv_including_rho
original_radius,0.4,MC,0.40179113455786575,0.027692197884429753,100,0.0027692197884429753,,4,full_grid_cv_including_rho
original_radius,0.6,GR,0.5895675025776363,0.01533852582121441,100,0.001533852582121441,,4,full_grid_cv_including_rho
original_radius,0.6,IPC,0.30352199199230545,0.02335291314504692,100,0.002335291314504692,,4,full_grid_cv_including_rho
original_radius,0.6,KR,0.39934687011218195,0.018234530758270036,100,0.0018234530758270036,,4,full_grid_cv_including_rho
original_radius,0.6,MC,0.40198428455883145,0.030519750776303502,100,0.0030519750776303502,,4,full_grid_cv_including_rho
original_radius,0.8,GR,0.5970803352272732,0.01979942253569515,100,0.001979942253569515,,4,full_grid_cv_including_rho
original_radius,0.8,IPC,0.29557451780282895,0.024260708683843026,100,0.0024260708683843026,,4,full_grid_cv_including_rho
original_radius,0.8,KR,0.41328564366898024,0.02552986568562655,100,0.002552986568562655,,4,full_grid_cv_including_rho
original_radius,0.8,MC,0.3973292663962673,0.028936409744189852,100,0.002893640974418985,,4,full_grid_cv_including_rho
original_radius,1.0,GR,0.6729407054358922,0.02394709929929591,100,0.002394709929929591,,4,full_grid_cv_including_rho
original_radius,1.0,IPC,0.24774927998463026,0.02032803515679145,100,0.002032803515679145,,4,full_grid_cv_including_rho
original_radius,1.0,KR,0.5177305355106485,0.02782922833039503,100,0.002782922833039503,,4,full_grid_cv_including_rho
original_radius,1.0,MC,0.3456235224289721,0.027926844375077864,100,0.002792684437507786,,4,full_grid_cv_including_rho
spectral_radius,0.0,GR,0.5003351655330328,0.014673250027859443,100,0.0014673250027859442,,4,full_grid_cv_including_rho
spectral_radius,0.0,IPC,0.2410079535448053,0.01798631700596764,100,0.0017986317005967642,,4,full_grid_cv_including_rho
spectral_radius,0.0,KR,0.32360345449879496,0.015979538813812654,100,0.0015979538813812653,,4,full_grid_cv_including_rho
spectral_radius,0.0,MC,0.33122318740879164,0.024415405932245286,100,0.0024415405932245284,,4,full_grid_cv_including_rho
spectral_radius,0.2,GR,0.5875568719111244,0.027134641778124385,100,0.0027134641778124385,,4,full_grid_cv_including_rho
spectral_radius,0.2,IPC,0.313099154400195,0.03590585306053764,100,0.003590585306053764,,4,full_grid_cv_including_rho
spectral_radius,0.2,KR,0.4225003682697107,0.04147992574201067,100,0.0041479925742010666,,4,full_grid_cv_including_rho
spectral_radius,0.2,MC,0.4096917351032679,0.04417980916360256,100,0.004417980916360256,,4,full_grid_cv_including_rho
spectral_radius,0.24250832408435072,GR,0.5987064769190308,0.024957018140596265,100,0.0024957018140596265,,4,full_grid_cv_including_rho
spectral_radius,0.24250832408435072,IPC,0.3336204754807263,0.04036036239481984,100,0.004036036239481984,,4,full_grid_cv_including_rho
spectral_radius,0.24250832408435072,KR,0.4442843216634313,0.04325501261580978,100,0.004325501261580978,,4,full_grid_cv_including_rho
spectral_radius,0.24250832408435072,MC,0.4334511877120728,0.04789779981288631,100,0.004789779981288631,,4,full_grid_cv_including_rho
spectral_radius,0.4,GR,0.6109384531762483,0.027124169948663734,100,0.0027124169948663734,,4,full_grid_cv_including_rho
spectral_radius,0.4,IPC,0.3611200238639804,0.03411557002767784,100,0.003411557002767784,,4,full_grid_cv_including_rho
spectral_radius,0.4,KR,0.47575059622229793,0.03406837998970442,100,0.0034068379989704418,,4,full_grid_cv_including_rho
spectral_radius,0.4,MC,0.46732759435141774,0.03835054257436018,100,0.003835054257436018,,4,full_grid_cv_including_rho
spectral_radius,0.6,GR,0.6130058491221946,0.023718774691945013,100,0.0023718774691945015,,4,full_grid_cv_including_rho
spectral_radius,0.6,IPC,0.36359418918930453,0.03597885071549525,100,0.0035978850715495253,,4,full_grid_cv_including_rho
spectral_radius,0.6,KR,0.47961031718938296,0.032561010954157206,100,0.0032561010954157204,,4,full_grid_cv_including_rho
spectral_radius,0.6,MC,0.47178330956159237,0.04054731503184114,100,0.004054731503184114,,4,full_grid_cv_including_rho
spectral_radius,0.8,GR,0.6033182688168123,0.029719956626430375,100,0.0029719956626430375,,4,full_grid_cv_including_rho
spectral_radius,0.8,IPC,0.30873978667307617,0.0403711248176385,100,0.00403711248176385,,4,full_grid_cv_including_rho
spectral_radius,0.8,KR,0.43219287724238065,0.04308981349478479,100,0.004308981349478479,,4,full_grid_cv_including_rho
spectral_radius,0.8,MC,0.41263411234585456,0.045713809551109805,100,0.004571380955110981,,4,full_grid_cv_including_rho
spectral_radius,1.0,GR,0.5393652167285261,0.021567793395199195,100,0.0021567793395199193,,4,full_grid_cv_including_rho
spectral_radius,1.0,IPC,0.23131658201665595,0.021920294745305723,100,0.0021920294745305722,,4,full_grid_cv_including_rho
spectral_radius,1.0,KR,0.35553421882053615,0.025418449978272015,100,0.0025418449978272016,,4,full_grid_cv_including_rho
spectral_radius,1.0,MC,0.32266366364015764,0.0295473878342619,100,0.00295473878342619,,4,full_grid_cv_including_rho
