normalization,sign_frac,metric,mean,std,n_groups,sem
original_radius,0.0,GR,11.50987002239873,1.478402903454976,100,0.1478402903454976
original_radius,0.0,IPC,7.634977046439064,0.4986964292632175,100,0.04986964292632175
original_radius,0.0,KR,6.160208141009012,0.7809863647162245,100,0.07809863647162245
original_radius,0.0,MC,4.229522153254754,0.21657818641859897,100,0.021657818641859897
original_radius,0.2,GR,9.045017457144956,0.9281404217742932,100,0.09281404217742932
original_radius,0.2,IPC,9.068222855484821,0.4784896384913904,100,0.047848963849139045
original_radius,0.2,KR,4.994640103243292,0.441673799767041,100,0.0441673799767041
original_radius,0.2,MC,5.212413393234214,0.30024118824399326,100,0.030024118824399326
original_radius,0.22058823529411764,GR,8.90266030644377,0.9104173517930125,100,0.09104173517930125
original_radius,0.22058823529411764,IPC,9.081787557485526,0.48864507560717413,100,0.04886450756071741
original_radius,0.22058823529411764,KR,4.917414968969921,0.43139919213851485,100,0.043139919213851484
original_radius,0.22058823529411764,MC,5.2228905047973,0.2986101451428887,100,0.02986101451428887
original_radius,0.4,GR,8.48476705301553,0.8519764738989953,100,0.08519764738989953
original_radius,0.4,IPC,9.21115487487232,0.456850766353486,100,0.0456850766353486
original_radius,0.4,KR,4.682715853924552,0.39067606434550717,100,0.03906760643455072
original_radius,0.4,MC,5.280282263836512,0.2902607516427888,100,0.02902607516427888
original_radius,0.6,GR,8.458954149968923,0.7698235764644208,100,0.07698235764644208
original_radius,0.6,IPC,9.19834591353367,0.44996119998829054,100,0.044996119998829055
original_radius,0.6,KR,4.671793339028954,0.3562564636791213,100,0.03562564636791213
original_radius,0.6,MC,5.290697202893594,0.27349918671605944,100,0.027349918671605945
original_radius,0.8,GR,8.652507393645744,0.832468252792239,100,0.0832468252792239
original_radius,0.8,IPC,9.184374912456157,0.4477483647689881,100,0.04477483647689881
original_radius,0.8,KR,4.77996606759727,0.4002558312376289,100,0.04002558312376289
original_radius,0.8,MC,5.313555952347815,0.2638075607252828,100,0.026380756072528277
original_radius,1.0,GR,9.803790791804591,1.1810149473847826,100,0.11810149473847827
original_radius,1.0,IPC,8.749617495122346,0.3976290355903206,100,0.03976290355903206
original_radius,1.0,KR,5.2550198309371865,0.5666751346916318,100,0.056667513469163176
original_radius,1.0,MC,5.218849244949719,0.23234893158433984,100,0.023234893158433984
spectral_radius,0.0,GR,6.075815597524246,0.6190138001147811,100,0.061901380011478116
spectral_radius,0.0,IPC,7.672379197889963,0.36788938689951495,100,0.03678893868995149
spectral_radius,0.0,KR,3.6338437607387704,0.33773788041871844,100,0.033773788041871845
spectral_radius,0.0,MC,4.386342061273754,0.22083144232478719,100,0.02208314423247872
spectral_radius,0.2,GR,11.367593595609069,3.29852469063791,100,0.329852469063791
spectral_radius,0.2,IPC,9.440962617539634,0.8076822607675342,100,0.08076822607675342
spectral_radius,0.2,KR,6.140849055945873,1.6222263845555007,100,0.16222263845555007
spectral_radius,0.2,MC,5.480989842923979,0.5474884184819975,100,0.054748841848199746
spectral_radius,0.22058823529411764,GR,12.264239064206679,3.7299644085264987,100,0.3729964408526499
spectral_radius,0.22058823529411764,IPC,9.672008459604129,0.8911716685233464,100,0.08911716685233464
spectral_radius,0.22058823529411764,KR,6.571756514894465,1.8462152654765835,100,0.18462152654765834
spectral_radius,0.22058823529411764,MC,5.638553359620273,0.5977770886666549,100,0.05977770886666549
spectral_radius,0.4,GR,17.543149177978435,5.526658072403517,100,0.5526658072403517
spectral_radius,0.4,IPC,11.057828047718235,1.0838480481406094,100,0.10838480481406094
spectral_radius,0.4,KR,9.129308024160563,2.74132916575404,100,0.274132916575404
spectral_radius,0.4,MC,6.60041792990019,0.7055964758777495,100,0.07055964758777496
spectral_radius,0.6,GR,17.873444868177174,4.8880937657195656,100,0.48880937657195656
spectral_radius,0.6,IPC,11.135488177922387,1.0151384232139982,100,0.10151384232139982
spectral_radius,0.6,KR,9.307216858516137,2.4703816775812593,100,0.24703816775812593
spectral_radius,0.6,MC,6.673735438051323,0.6908126164128462,100,0.06908126164128461
spectral_radius,0.8,GR,10.323360755890608,3.054845298995137,100,0.3054845298995137
spectral_radius,0.8,IPC,9.539757970965598,0.8023504097667244,100,0.08023504097667244
spectral_radius,0.8,KR,5.590385018748542,1.463834436799975,100,0.1463834436799975
spectral_radius,0.8,MC,5.570347896832973,0.5177023960529563,100,0.05177023960529563
spectral_radius,1.0,GR,5.47949235641708,0.4831791550672727,100,0.048317915506727274
spectral_radius,1.0,IPC,8.002809534033993,0.3414099769290916,100,0.03414099769290916
spectral_radius,1.0,KR,3.2835767507801457,0.24222773591210672,100,0.024222773591210674
spectral_radius,1.0,MC,4.61406814770773,0.19670089587773482,100,0.01967008958777348
