normalization,sign_frac,raw_rho,raw_rho_std,raw_rho_n,raw_rho_sem,ref_rho,ref_rho_std,ref_rho_n,ref_rho_sem,post_rho,post_rho_std,post_rho_n,post_rho_sem,scale_factor,scale_factor_std,scale_factor_n,scale_factor_sem
original_radius,0.0,100.5592269897461,0.0,100,0.0,68.22114112854004,2.5931888684871027,100,0.2593188868487103,1.254686363339424,0.04705467609560052,100,0.004705467609560051,0.012477075927447208,0.0004679298492649751,100,4.6792984926497506e-05
original_radius,0.2,62.42941780090332,10.47374842638115,100,1.0473748426381149,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.7789309477061033,0.13496867412358568,100,0.013496867412358568,0.012477075927447208,0.0004679298492649751,100,4.6792984926497506e-05
original_radius,0.22058823529411764,59.44750877380371,10.356747212889344,100,1.0356747212889343,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.7417573375254869,0.13320279544299243,100,0.013320279544299244,0.012477075927447208,0.0004679298492649751,100,4.6792984926497506e-05
original_radius,0.4,47.213699150085446,7.815672638156979,100,0.7815672638156979,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.589094532802701,0.10000487562072308,100,0.010000487562072308,0.012477075927447208,0.0004679298492649751,100,4.6792984926497506e-05
original_radius,0.6,46.40715812683106,6.994998149177583,100,0.6994998149177583,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.5793744633346796,0.09234673945835142,100,0.009234673945835142,0.012477075927447208,0.0004679298492649751,100,4.6792984926497506e-05
original_radius,0.8,63.807907791137694,10.362235325413153,100,1.0362235325413152,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.7964747640490532,0.13409651740211798,100,0.013409651740211798,0.012477075927447208,0.0004679298492649751,100,4.6792984926497506e-05
original_radius,1.0,100.55933380126952,0.0,100,0.0,68.22114112854004,2.5931888684871027,100,0.2593188868487103,1.2546866057813169,0.04705460323017033,100,0.004705460323017033,0.012477075927447208,0.0004679298492649751,100,4.6792984926497506e-05
spectral_radius,0.0,100.5592269897461,0.0,100,0.0,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.8500010818243027,0.0,100,0.0,0.0084527300521778,0.0,100,0.0
spectral_radius,0.2,62.42941780090332,10.47374842638115,100,1.0473748426381149,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.8500000463426113,7.937924757100735e-07,100,7.937924757100735e-08,0.01399327810159081,0.0023083080754169277,100,0.00023083080754169276
spectral_radius,0.22058823529411764,59.44750877380371,10.356747212889344,100,1.0356747212889343,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.849999839514494,8.331352670233146e-07,100,8.331352670233147e-08,0.014722961174249857,0.0025063707854305517,100,0.00025063707854305515
spectral_radius,0.4,47.213699150085446,7.815672638156979,100,0.7815672638156979,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.8500000360608101,1.0258299855311308e-06,100,1.0258299855311308e-07,0.018479107494690377,0.002969101670745779,100,0.00029691016707457786
spectral_radius,0.6,46.40715812683106,6.994998149177583,100,0.6994998149177583,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.8499998359382153,8.756265143850303e-07,100,8.756265143850303e-08,0.018712386064278348,0.002692979165125691,100,0.0002692979165125691
spectral_radius,0.8,63.807907791137694,10.362235325413153,100,1.0362235325413152,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.8499999558925628,7.556820110324742e-07,100,7.556820110324742e-08,0.013678225357171319,0.0022669531007087056,100,0.00022669531007087057
spectral_radius,1.0,100.55933380126952,0.0,100,0.0,68.22114112854004,2.5931888684871027,100,0.2593188868487103,0.8500005751848221,0.0,100,0.0,0.008452721073906549,0.0,100,0.0
