normalization,sign_frac,metric,mean,std,n_groups,sem,n_rho_targets,cv_definition
original_radius,0.0,GR,0.4902827960627655,0.02444445761591903,100,0.002444445761591903,4,mean_within_target_cv
original_radius,0.0,IPC,0.25685671098504614,0.018606109985465562,100,0.0018606109985465562,4,mean_within_target_cv
original_radius,0.0,KR,0.32227300871764264,0.02454053707781261,100,0.002454053707781261,4,mean_within_target_cv
original_radius,0.0,MC,0.29916904056572663,0.02320079490056669,100,0.002320079490056669,4,mean_within_target_cv
original_radius,0.2,GR,0.4705121444678262,0.015424143454044952,100,0.0015424143454044951,4,mean_within_target_cv
original_radius,0.2,IPC,0.27163043143795973,0.02042695861911569,100,0.002042695861911569,4,mean_within_target_cv
original_radius,0.2,KR,0.267996689990511,0.0172826962395405,100,0.0017282696239540498,4,mean_within_target_cv
original_radius,0.2,MC,0.35004197718051666,0.02837206439381591,100,0.002837206439381591,4,mean_within_target_cv
original_radius,0.22058823529411764,GR,0.47427470901584007,0.01510627210353308,100,0.001510627210353308,4,mean_within_target_cv
original_radius,0.22058823529411764,IPC,0.2715559123811227,0.020209101056388453,100,0.0020209101056388452,4,mean_within_target_cv
original_radius,0.22058823529411764,KR,0.2705734471505872,0.017267338707905387,100,0.0017267338707905387,4,mean_within_target_cv
original_radius,0.22058823529411764,MC,0.35109266348405177,0.027769166693624284,100,0.0027769166693624283,4,mean_within_target_cv
original_radius,0.4,GR,0.48973588828859627,0.012906142752318729,100,0.001290614275231873,4,mean_within_target_cv
original_radius,0.4,IPC,0.2695561184775296,0.021134425706103376,100,0.0021134425706103377,4,mean_within_target_cv
original_radius,0.4,KR,0.2847765339537022,0.014239293218170787,100,0.0014239293218170786,4,mean_within_target_cv
original_radius,0.4,MC,0.34941793855953907,0.02381655308721034,100,0.002381655308721034,4,mean_within_target_cv
original_radius,0.6,GR,0.4891681894620256,0.011791438974575711,100,0.001179143897457571,4,mean_within_target_cv
original_radius,0.6,IPC,0.2711675557386399,0.020001020050595487,100,0.002000102005059549,4,mean_within_target_cv
original_radius,0.6,KR,0.2842118849133966,0.013717832130515037,100,0.0013717832130515036,4,mean_within_target_cv
original_radius,0.6,MC,0.3497924976696508,0.02511573103185951,100,0.002511573103185951,4,mean_within_target_cv
original_radius,0.8,GR,0.4924885254777064,0.013503028285052,100,0.0013503028285052,4,mean_within_target_cv
original_radius,0.8,IPC,0.26116888033456714,0.021902725109079913,100,0.0021902725109079913,4,mean_within_target_cv
original_radius,0.8,KR,0.29369263926295686,0.018864326814592575,100,0.0018864326814592575,4,mean_within_target_cv
original_radius,0.8,MC,0.3435123874733496,0.026123551626414748,100,0.0026123551626414747,4,mean_within_target_cv
original_radius,1.0,GR,0.5540408672002579,0.019351968982560936,100,0.0019351968982560936,4,mean_within_target_cv
original_radius,1.0,IPC,0.23524443937953726,0.018291746178862308,100,0.0018291746178862307,4,mean_within_target_cv
original_radius,1.0,KR,0.3939960428314824,0.023707278501988966,100,0.0023707278501988965,4,mean_within_target_cv
original_radius,1.0,MC,0.31570141679141495,0.026444570722491925,100,0.0026444570722491925,4,mean_within_target_cv
spectral_radius,0.0,GR,0.4000222125348202,0.015798406210990216,100,0.0015798406210990215,4,mean_within_target_cv
spectral_radius,0.0,IPC,0.2302056189152557,0.020606912058472728,100,0.0020606912058472727,4,mean_within_target_cv
spectral_radius,0.0,KR,0.20273111628779666,0.016411073959552158,100,0.0016411073959552158,4,mean_within_target_cv
spectral_radius,0.0,MC,0.30654523090381525,0.023307956928354367,100,0.0023307956928354367,4,mean_within_target_cv
spectral_radius,0.2,GR,0.47091998675485497,0.019130515209793583,100,0.0019130515209793582,4,mean_within_target_cv
spectral_radius,0.2,IPC,0.2819490160006212,0.02901826074408725,100,0.002901826074408725,4,mean_within_target_cv
spectral_radius,0.2,KR,0.2746116622945557,0.02543292363408091,100,0.002543292363408091,4,mean_within_target_cv
spectral_radius,0.2,MC,0.3646384518720974,0.03819862364910874,100,0.003819862364910874,4,mean_within_target_cv
spectral_radius,0.22058823529411764,GR,0.4769715219923547,0.0187414119677746,100,0.00187414119677746,4,mean_within_target_cv
spectral_radius,0.22058823529411764,IPC,0.2871367476387707,0.03070604812848356,100,0.003070604812848356,4,mean_within_target_cv
spectral_radius,0.22058823529411764,KR,0.2826141083739628,0.02657804530796362,100,0.0026578045307963623,4,mean_within_target_cv
spectral_radius,0.22058823529411764,MC,0.3726705485654916,0.040242709103214674,100,0.0040242709103214674,4,mean_within_target_cv
spectral_radius,0.4,GR,0.5032702273789061,0.019424894887413065,100,0.0019424894887413065,4,mean_within_target_cv
spectral_radius,0.4,IPC,0.31723810511204387,0.028408558077272085,100,0.0028408558077272087,4,mean_within_target_cv
spectral_radius,0.4,KR,0.3262121882756279,0.02432768845891604,100,0.0024327688458916042,4,mean_within_target_cv
spectral_radius,0.4,MC,0.4132948557531485,0.03448067297989135,100,0.003448067297989135,4,mean_within_target_cv
spectral_radius,0.6,GR,0.5028302258778781,0.01703658577955712,100,0.001703658577955712,4,mean_within_target_cv
spectral_radius,0.6,IPC,0.3170253197776314,0.03172025722520425,100,0.003172025722520425,4,mean_within_target_cv
spectral_radius,0.6,KR,0.3271651350813979,0.02410485868099178,100,0.002410485868099178,4,mean_within_target_cv
spectral_radius,0.6,MC,0.41702558187439087,0.03809339321714109,100,0.0038093393217141095,4,mean_within_target_cv
spectral_radius,0.8,GR,0.4960660453673438,0.02011873120782952,100,0.0020118731207829517,4,mean_within_target_cv
spectral_radius,0.8,IPC,0.2720443014756251,0.031191794032963384,100,0.0031191794032963383,4,mean_within_target_cv
spectral_radius,0.8,KR,0.3020162408975744,0.027061692820167547,100,0.0027061692820167546,4,mean_within_target_cv
spectral_radius,0.8,MC,0.35773477382593954,0.04205877908720106,100,0.004205877908720106,4,mean_within_target_cv
spectral_radius,1.0,GR,0.44875784425837184,0.013481668492231305,100,0.0013481668492231304,4,mean_within_target_cv
spectral_radius,1.0,IPC,0.21789839347607678,0.019977510478760143,100,0.0019977510478760142,4,mean_within_target_cv
spectral_radius,1.0,KR,0.2598548986190176,0.015554279687674626,100,0.0015554279687674626,4,mean_within_target_cv
spectral_radius,1.0,MC,0.28637745317944563,0.028335609465718125,100,0.0028335609465718124,4,mean_within_target_cv
