metric,baseline_mode,baseline_label,control_mode,control_label,baseline_mean_cv,control_mean_cv,delta_cv,pct_delta_cv,ci95_low,ci95_high,comparison_type,n
MC,real,C. elegans,binary_base,Binary wt.,0.4088194794380252,0.2982373010908389,-0.11058217834718631,-27.049146116813144,-0.11521928364395885,-0.10594507305041388,paired,200
MC,real,C. elegans,cel+randN,CE Gaussian wt.,0.4088194794380252,0.5370133921592953,0.12819391272127012,31.357095042899886,0.12301530021195077,0.13337252523058932,paired,200
MC,real,C. elegans,er+randN,ER Gaussian wt.,0.4088194794380252,0.5288982785675035,0.12007879912947828,29.37208356474158,0.11552011401549372,0.1246374842434626,paired,200
MC,real,C. elegans,local_sign,Sign-pres. Gaussian,0.4088194794380252,0.4810099655359521,0.07219048609792689,17.658279443328375,0.06662533201375513,0.07775564018209845,paired,200
MC,real,C. elegans,local_sign+binary,Sign-pres. pm1,0.4088194794380252,0.45260524101827193,0.04378576158024672,10.710292386369616,0.03873680361957828,0.048834719540915075,paired,200
MC,real,C. elegans,global_sign_pres_real_weight,Sign-pres. real wt.,0.4088194794380252,0.4344835861150209,0.0256641066769957,6.277613462126195,0.018902588217116403,0.03242562513687497,paired,200
MC,real,C. elegans,local_sign+flat,Sign-pres. uniform,0.4088194794380252,0.46722894801910625,0.05840946858108104,14.287349678487027,0.05297835665377408,0.06384058050838787,paired,200
MC,real,C. elegans,ws_p0.1+randN,WS Gaussian wt.,0.4088194794380252,0.5248700433263138,0.1160505638882886,28.386750075562684,0.11139157714098306,0.1207095506355942,paired,200
MC,real,C. elegans,global_sign_pres,pm1 + wt. shuf.,0.4088194794380252,0.39497190596403703,-0.013847573473988184,-3.387209800526983,-0.018850128220381977,-0.008845018727594316,paired,200
IPC,real,C. elegans,binary_base,Binary wt.,0.2995417066518406,0.2316801090691697,-0.06786159758267091,-22.65514152977265,-0.07156700986105442,-0.0641561853042875,paired,200
IPC,real,C. elegans,cel+randN,CE Gaussian wt.,0.2995417066518406,0.39712523814743084,0.09758353149559024,32.577610839685924,0.09331962074986488,0.10184744224131553,paired,200
IPC,real,C. elegans,er+randN,ER Gaussian wt.,0.2995417066518406,0.37352472466045916,0.07398301800861856,24.698736892291773,0.07024155370716655,0.0777244823100705,paired,200
IPC,real,C. elegans,local_sign,Sign-pres. Gaussian,0.2995417066518406,0.38579433827481635,0.08625263162297575,28.79486552543008,0.08203793918405691,0.09046732406189462,paired,200
IPC,real,C. elegans,local_sign+binary,Sign-pres. pm1,0.2995417066518406,0.37972145754944464,0.08017975089760404,26.767474818055142,0.07612901463255584,0.08423048716265213,paired,200
IPC,real,C. elegans,global_sign_pres_real_weight,Sign-pres. real wt.,0.2995417066518406,0.33159406097058075,0.03205235431874015,10.700464612093175,0.026590548176300507,0.03751416046117967,paired,200
IPC,real,C. elegans,local_sign+flat,Sign-pres. uniform,0.2995417066518406,0.38351451378436513,0.08397280713252453,28.033761331982628,0.07977132288621598,0.08817429137883305,paired,200
IPC,real,C. elegans,ws_p0.1+randN,WS Gaussian wt.,0.2995417066518406,0.3686581914178379,0.0691164847659973,23.074077242382767,0.0652965281473043,0.07293644138469021,paired,200
IPC,real,C. elegans,global_sign_pres,pm1 + wt. shuf.,0.2995417066518406,0.3178806117868698,0.018338905135029226,6.122321108474107,0.014269831471449348,0.022407978798608945,paired,200
KR,real,C. elegans,binary_base,Binary wt.,0.39797315442666703,0.2734704582861132,-0.12450269614055381,-31.284194613557897,-0.1283328477779329,-0.12067254450317465,paired,200
KR,real,C. elegans,cel+randN,CE Gaussian wt.,0.39797315442666703,0.6943481311319882,0.2963749767053212,74.47109771318333,0.2925506320411526,0.30019932136949024,paired,200
KR,real,C. elegans,er+randN,ER Gaussian wt.,0.39797315442666703,0.7690936838014935,0.3711205293748264,93.25265416695622,0.36777945093764824,0.3744616078120046,paired,200
KR,real,C. elegans,local_sign,Sign-pres. Gaussian,0.39797315442666703,0.609780826353124,0.211807671926457,53.22159788179531,0.20435795731393663,0.21925738653897742,paired,200
KR,real,C. elegans,local_sign+binary,Sign-pres. pm1,0.39797315442666703,0.5385835608167145,0.14061040639004752,35.331630997225275,0.13422840300338612,0.14699240977670885,paired,200
KR,real,C. elegans,global_sign_pres_real_weight,Sign-pres. real wt.,0.39797315442666703,0.4353744573274643,0.037401302900797295,9.397946189279732,0.03064088143346192,0.04416172436813281,paired,200
KR,real,C. elegans,local_sign+flat,Sign-pres. uniform,0.39797315442666703,0.5871330886586484,0.1891599342319814,47.53082767718122,0.1820756732665032,0.19624419519745956,paired,200
KR,real,C. elegans,ws_p0.1+randN,WS Gaussian wt.,0.39797315442666703,0.7754714071277249,0.37749825270105786,94.85520530772837,0.374376076106502,0.38062042929561374,paired,200
KR,real,C. elegans,global_sign_pres,pm1 + wt. shuf.,0.39797315442666703,0.42633632204969457,0.02836316762302754,7.126904744087183,0.02453316005284633,0.03219317519320892,paired,200
GR,real,C. elegans,binary_base,Binary wt.,0.3470078853485887,0.2191613035056617,-0.12784658184292697,-36.84255812068881,-0.1335817519060819,-0.12211141177977203,paired,200
GR,real,C. elegans,cel+randN,CE Gaussian wt.,0.3470078853485887,0.7644289535535412,0.41742106820495256,120.2915224204862,0.4114382289850521,0.4234039074248531,paired,200
GR,real,C. elegans,er+randN,ER Gaussian wt.,0.3470078853485887,0.8627576029523008,0.515749717603712,148.62766507038097,0.5102928215261393,0.521206613681285,paired,200
GR,real,C. elegans,local_sign,Sign-pres. Gaussian,0.3470078853485887,0.654363257746605,0.3073553723980163,88.57302250905934,0.2963668738268366,0.31834387096919603,paired,200
GR,real,C. elegans,local_sign+binary,Sign-pres. pm1,0.3470078853485887,0.5206854480552804,0.1736775627066917,50.05003345449138,0.16466300551643054,0.182692119896953,paired,200
GR,real,C. elegans,global_sign_pres_real_weight,Sign-pres. real wt.,0.3470078853485887,0.4474693462850719,0.10046146093648323,28.9507717772938,0.09032184208402917,0.11060107978893728,paired,200
GR,real,C. elegans,local_sign+flat,Sign-pres. uniform,0.3470078853485887,0.6109224589907591,0.26391457364217047,76.05434481036465,0.25394814378046193,0.2738810035038791,paired,200
GR,real,C. elegans,ws_p0.1+randN,WS Gaussian wt.,0.3470078853485887,0.8683949837902142,0.5213870984416256,150.25223358191508,0.516070376930823,0.5267038199524281,paired,200
GR,real,C. elegans,global_sign_pres,pm1 + wt. shuf.,0.3470078853485887,0.4158546808386503,0.06884679549006162,19.840124215304556,0.061234310978043036,0.07645928000208031,paired,200
